dataset,normal,homoscedastic,parametric,method,p-value,significant
31,False,False,False,Kruskal-Wallis + Dunn,1.3663222933391257e-52,True
37,False,False,False,Kruskal-Wallis + Dunn,2.90867675783888e-52,True
44,False,False,False,Kruskal-Wallis + Dunn,2.5470789674521404e-53,True
1462,False,False,False,Kruskal-Wallis + Dunn,2.944084839051666e-51,True
1479,False,False,False,Kruskal-Wallis + Dunn,1.215394467965535e-53,True
1510,False,False,False,Kruskal-Wallis + Dunn,3.2964333213415637e-50,True
40945,False,False,False,Kruskal-Wallis + Dunn,2.0024069652745757e-38,True
23,False,False,False,Kruskal-Wallis + Dunn,1.146161439809178e-49,True
36,False,False,False,Kruskal-Wallis + Dunn,6.708752487361563e-47,True
54,False,False,False,Kruskal-Wallis + Dunn,3.4211457425629083e-47,True
181,False,False,False,Kruskal-Wallis + Dunn,5.247891809918014e-47,True
1466,False,False,False,Kruskal-Wallis + Dunn,5.88253122228106e-51,True
40691,False,False,False,Kruskal-Wallis + Dunn,1.3012713100686841e-49,True
40975,False,False,False,Kruskal-Wallis + Dunn,3.527413297056203e-47,True
285,False,False,False,Kruskal-Wallis + Dunn,6.70611461914932e-12,True
41464,False,False,False,Kruskal-Wallis + Dunn,8.687442966701108e-11,True
41465,False,False,False,Kruskal-Wallis + Dunn,3.688169027696872e-15,True
41468,False,False,False,Kruskal-Wallis + Dunn,1.350443122030475e-13,True
41470,False,False,False,Kruskal-Wallis + Dunn,1.2367047762752941e-15,True
41471,False,False,False,Kruskal-Wallis + Dunn,1.3131992834014296e-15,True
41473,False,False,False,Kruskal-Wallis + Dunn,3.915777695154622e-14,True
285ps,False,False,False,Kruskal-Wallis + Dunn,1.6244993297321322e-30,True
41464ps,False,False,False,Kruskal-Wallis + Dunn,1.839310606551302e-29,True
41465ps,False,False,False,Kruskal-Wallis + Dunn,2.2399407500811538e-39,True
41468ps,False,False,False,Kruskal-Wallis + Dunn,3.1951535424969906e-37,True
41470ps,False,False,False,Kruskal-Wallis + Dunn,1.096605663143465e-37,True
41471ps,False,False,False,Kruskal-Wallis + Dunn,3.002745906419053e-38,True
41473ps,False,False,False,Kruskal-Wallis + Dunn,9.233420454831159e-42,True
