scenario,dataset,normal_pairs,normal,homoscedastic_pairs,homoscedastic,parametric,method,p-value,significant
binary,31,105/120,False,120/120,True,False,Kruskal-Wallis + Dunn,8.3e-24,True
binary,37,66/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.4e-18,True
binary,44,66/120,False,0/120,False,False,Kruskal-Wallis + Dunn,4.5e-33,True
binary,1462,15/120,False,0/120,False,False,Kruskal-Wallis + Dunn,3.1e-39,True
binary,1479,36/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.5999999999999998e-53,True
binary,1510,21/120,False,120/120,True,False,Kruskal-Wallis + Dunn,1.3e-17,True
binary,40945,36/66,False,0/66,False,False,Kruskal-Wallis + Dunn,6.800000000000001e-27,True
multiclass,23,91/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.4e-25,True
multiclass,36,91/120,False,0/120,False,False,Kruskal-Wallis + Dunn,2e-11,True
multiclass,54,91/120,False,0/120,False,False,Kruskal-Wallis + Dunn,3.2000000000000003e-28,True
multiclass,181,91/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.7e-34,True
multiclass,1466,36/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.3e-45,True
multiclass,40691,105/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.5e-31,True
multiclass,40975,45/120,False,0/120,False,False,Kruskal-Wallis + Dunn,4.1e-34,True
multilabel_native,285,3/6,False,0/6,False,False,Kruskal-Wallis + Dunn,2e-09,True
multilabel_native,41464,3/3,True,0/3,False,False,Kruskal-Wallis + Dunn,4.1e-12,True
multilabel_native,41465,6/6,True,6/6,True,True,ANOVA + Tukey,4.7000000000000005e-60,True
multilabel_native,41468,6/6,True,0/6,False,False,Kruskal-Wallis + Dunn,9.2e-15,True
multilabel_native,41470,6/6,True,0/6,False,False,Kruskal-Wallis + Dunn,1.7e-14,True
multilabel_native,41471,3/6,False,6/6,True,False,Kruskal-Wallis + Dunn,3.5e-15,True
multilabel_native,41473,6/6,True,6/6,True,True,ANOVA + Tukey,3.1e-80,True
multilabel_powerset,285ps,15/45,False,0/45,False,False,Kruskal-Wallis + Dunn,4.4e-23,True
multilabel_powerset,41464ps,36/66,False,0/66,False,False,Kruskal-Wallis + Dunn,6.699999999999999e-25,True
multilabel_powerset,41465ps,66/78,False,0/78,False,False,Kruskal-Wallis + Dunn,5.600000000000001e-22,True
multilabel_powerset,41468ps,45/105,False,0/105,False,False,Kruskal-Wallis + Dunn,3.2e-26,True
multilabel_powerset,41470ps,36/78,False,0/78,False,False,Kruskal-Wallis + Dunn,6.5e-28,True
multilabel_powerset,41471ps,21/78,False,0/78,False,False,Kruskal-Wallis + Dunn,4.6e-26,True
multilabel_powerset,41473ps,21/66,False,0/66,False,False,Kruskal-Wallis + Dunn,1e-27,True
